Name|Note|Misc
"Cape Baily Lighthouse"|""|"4.1(84) - Museum · Kurnell - Open 24 hours"
"Nattai Gorge Lookout"|""|"4.6(42) - Scenic spot · Woodlands - Open until 5:30 pm"
"Bega Valley Lookout"|""|"4.3(53) - Vista point · Coopers Gully"
"Oatley Castle"|""|"4.4(49) - Historical landmark  - Open until 7:00 pm"
"Cape Solander"|""|"4.8(746) - Scenic spot · Kurnell - Temporarily closed"
"Mermaid Pool"|""|"3.0(4) - Swimming basin · Mondayong"
"Limestone Gorge"|""|"4.3(6) - Tourist attraction · Wombeyan Caves"
"Mares Forest Creek walking track"|""|"Tourist attraction · Wombeyan Caves"
"Wollondilly Lookout"|""|"4.6(61) - Tourist attraction · Bullio - Open until 7:00 pm"
"guestlands"|""|"5.0(17) - Bed & breakfast · Arcadia"
"Trentham Falls, Coliban River"|""|"4.3(1,323) - Tourist attraction · Trentham - Open 24 hours"
"George Boyd Rainforest Walk"|""|"3.8(5) - Scenic spot · Tianjara - Open 24 hours"
"Jerrawangala lookout"|""|"4.6(133) - Scenic spot · Tianjara - Open 24 hours"
"Paddy's river Murrimba Rd swimming spot"|""|"4.2(17) - Swimming lake · Brayton"
"Wollondilly River Station"|""|"4.3(106) - Camping Ground · Wombeyan Caves"
"Hassans Walls"|""|"New South Wales 2790"
"Mermaids Cave"|"Mermaids Cave via Station Street on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/mermaids-cave-via-station-street"|"4.5(29) - Cave  - Cave, waterfall & Mad Max 3 backdrop"
"El Questro Gorge"|""|"5.0(2) - Tourist attraction · Durack - Open 24 hours"
"Kangaroo Creek"|""|"5.0(3) - River "
"Gap Creek Falls Walking Track"|""|""
"Balls Head Reserve"|""|"4.7(623) - Nature preserve · Waverton - Waterfront nature park with hiking paths - Open 24 hours"
"Upper Kangaroo River"|"Upper kangaroo Valley suspension bridge"|"New South Wales 2577"
"Mount Wilson Village Hall"|"Wollangambe Canyon on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/wollangambe-canyon"|"4.0(3) - Village hall · Mount Wilson"
"Donkey Mountain"|"Donkey Mountain on AllTrails
https://www.alltrails.com/trail/australia/new-south-wales/donkey-mountain?p=33831061"|"5.0(6) - Mountain peak "
"Camel Rock"|""|"4.7(137) - Tourist attraction  - Open 24 hours"
"America Bay walking track"|""|"4.2(5) - Hiking area · Ku-Ring-Gai Chase"
"Walls Ledge Track"|"https://www.instagram.com/explorensw_au/p/CYVfqQHviJn/?utm_medium=copy_link"|""
"Centennial Grove Grotto "Canyon""|""|"4.6(24) - Park · Blackheath - Permanently closed"
"Centennial Glen Carpark"|"Centennial pass track, Colliers Causeway, Wall ledge track"|"5.0(10) - Public parking space · Blackheath"
"Woolshed Cave"|""|"4.6(251) - Scenic spot  - Open 24 hours"
"Tasman Peninsula"|""|"4.2(18) - Peninsula  - Scenic destination with historical sites"
"Blue Waterholes campground"|""|"4.7(60) - Camping Ground · Cooleman"
"TruNinja Penrith"|""|"4.5(53) - Adventure sports · Jamisontown - Open until 9:00 pm"
"Ben Boyd National Park"|""|"4.6(357) - National park · Edrom - Seaside park with a historic lighthouse - Open until 7:00 pm"
"Blue Waterholes Trail"|""|""
"Porcupine Rocks"|""|"4.8(11) - Scenic spot "
"Dead Horse Gap"|""|"4.7(39) - Mountain pass "
"Main Range Track"|""|""
"Jellybean Pool"|""|"4.4(109) - Pond "
"Railway Parade"|"Park here for Paradise Pool
https://www.walkmyworld.com/posts/paradise-pool-blue-mountains"|""
"Blue Pool Walking Track"|""|"4.2(38) - Hiking area · Blue Mountains National Park, The Oaks Trail - Open until 7:00 pm"
"Victoria Falls walking track"|""|"4.5(111) - Tourist attraction · Mount Victoria"
"Kanuka Brook Gully Track"|"VERY SECLUDED Crayfish pool.

https://www.beyondtracks.com/walks/blue-mountains-national-park/crayfish-pool-from-glenbrook/"|"Blue Mountains National Park NSW 2787"
"33°47'00.2"S 150°34'10.7"E"|"Very secluded Crayfish Pool.
https://www.beyondtracks.com/walks/blue-mountains-national-park/crayfish-pool-from-glenbrook/"|"(-33.783382, 150.569626)"
"Marges Lookout"|""|"4.3(56) - Scenic spot  - Open 24 hours"
"Coxs River Suspension Bridge"|""|"4.7(116) - Tourist attraction · Coxs River"
"Ross Lookout"|""|"4.5(43) - Scenic spot · Glenbrook - Open 24 hours"
"Loves Bay"|""|"4.6(7) - Tourist attraction  - Open 24 hours"
"Bridal Veil View"|"Bridal veil falls is nearby or on Amphitheatre walking track"|"4.7(38) - Scenic spot · Katoomba"
"Amphitheatre Walking Track"|"Bridal veil falls might be here"|""
"Mulligans Hut"|""|"4.5(6) - Historical landmark "
"Horse Head Rock"|""|"4.7(201) - Scenic spot  - Open 24 hours"
"Crookhaven Lighthouse"|""|"4.1(142) - Tourist attraction  - Brick lighthouse constructed in 1904 - Open 24 hours"
"Saddleback Mountain Lookout"|""|"4.7(555) - Scenic spot · Kiama - Open 24 hours"
"Elvina Waterfalls"|""|"4.5(37) - Scenic spot  - Open 24 hours"
"Bairne Lookout"|""|"5.0(1) - Hiking area · Ku-Ring-Gai Chase"
"West Head Lookout"|""|"4.8(1,785) - Scenic spot · Ku-Ring-Gai Chase - Scenic views & Aboriginal rock art - Open until 8:30 pm"
"West Head Beach"|""|"4.7(79) - Beach "
"Tura Beach Rockpool"|""|"4.7(30) - Tourist attraction  - Open 24 hours"
"Nelson Beach"|""|"4.8(12) - Beach "
"Australia Rock"|""|"4.6(864) - Tourist attraction · Narooma - Rock formation in a seafront locale - Open 24 hours"
"Willawong pool"|""|"4.7(3) - Tourist attraction · Hazelbrook"
"Medlow Bath"|""|"New South Wales 2780"
"Bungonia National Park"|"Go to Slot Canyon"|"4.5(188) - National park · Bungonia - Open 24 hours"
"Nethercote Falls"|""|"4.6(32) - Swimming basin  - Temporarily closed"
"Barrenjoey Lighthouse"|""|"4.7(2,439) - Tourist attraction · Palm Beach - 19th-century sandstone lighthouse - Open 24 hours"
"Barra Nula Cascades"|""|"4.0(1) - Tourist attraction "
"Refuge Bay"|""|"4.8(37) - Bay  - Storied, chill bay with beach/waterfall"
"Bens Walk"|""|""
"Resolute Beach"|""|"4.7(101) - Beach "
"Bindijine Jetty"|""|"4.0(1) - Tourist attraction · Beecroft Peninsula"
"Glasshouse Rocks"|""|"4.5(41) - Tourist attraction  - Open 24 hours"
"Lower Gledhill Falls"|""|"4.3(4) - Scenic spot  - Open 24 hours"
"Merribee"|""|"4.4(147) - Tourist attraction · Numbaa"
"Davidson Whaling Station"|""|"4.3(116) - Historical landmark · Edrom - Open until 7:00 pm"
"Bruce Steer Ocean Swimming Pool"|""|"4.9(13) - Swimming basin · Bermagui"
"Piles Creek loop"|""|"4.8(74) - Tourist attraction · Somersby - Open until 8:00 pm"
"Shepherds Lookout Walk"|""|""
"Curracurrong Creek"|""|"4.8(26) - National park  - Open 24 hours"
"Karloo Pool"|""|"4.9(56) - Outdoor swimming pool · Royal National Park - Open until 8:30 pm"
"Currarong Rock Pools"|""|"4.7(53) - Tourist attraction  - Open 24 hours"
"Boat Harbour"|"https://www.instagram.com/naturalattractionsnsw/p/BjZOs2SH0PI/?utm_medium=copy_link"|"New South Wales"
"Cremorne Point Garden And Walk"|""|"5.0(6) - Park "
"Berrys Bay Lookout"|""|"4.8(257) - Scenic spot · Waverton - Open 24 hours"
"National Arboretum Canberra"|""|"4.6(4,649) - Arboretum · Molonglo Valley - Modern arboretum with a unique play area - Open until 8:30 pm"
"Breenhold Gardens"|""|"4.3(509) - Garden · Mount Wilson - Temporarily closed"
"Loch Ard Gorge"|""|"4.8(5,202) - Tourist attraction · Great Ocean Road Port Campbell - Nature park with viewing platforms - Open 24 hours"
"Ahearn Lookout"|""|"4.7(6) - Scenic spot "
"Bonnie View Lookout"|""|"4.6(15) - Scenic spot · Bundanoon - Open 24 hours"
"Gerringong Falls"|""|"4.7(31) - Scenic spot  - Open 24 hours"
"Wattamolla Beach"|"Hidden pool https://www.instagram.com/p/Bw6XiGcg9aT/?utm_medium=copy_link"|"4.6(273) - Beach  - National park sandy beach with waterfall"
"33°29'10.5"S 150°15'47.2"E"|"Dargan Arch https://www.walkmyworld.com/posts/dargan-arch"|"(-33.486250, 150.263111)"
""|""|""
"Gordon Falls lookout and picnic area"|"https://www.nationalparks.nsw.gov.au/things-to-do/lookouts/gordon-falls-lookout-and-picnic-area/map"|"4.6(561) - Scenic spot · Blue Mountains National Park, Katoomba area in - Open 24 hours"
"Gibberagong walking track"|""|"5.0(5) - Hiking area · North Turramurra - Open until 7:00 pm"
"Burton Rd"|"https://www.walkmyworld.com/posts/porters-pass-blackheath"|""
"Sheraton Grand Mirage Resort, Port Douglas"|""|"4.3(1,122) - 5-star hotel · Port Douglas - Chic resort with 9 pools & a golf course"
"Werri Beach"|""|"New South Wales 2534"
